customer_ID,day,state,location,group_size,homeowner,car_age,car_value,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,A,B,C,D,E,F,G,cost,total_shopping_pts,cost_mean,cost_min,cost_max,cost_std,unique_cost_count,cost_change_amount,A_nunique,B_nunique,C_nunique,D_nunique,E_nunique,F_nunique,G_nunique,A_n_changes,B_n_changes,C_n_changes,D_n_changes,E_n_changes,F_n_changes,G_n_changes,hour
10000000,0,IN,10001,2,0,2,g,3.0,46,42,1,1.0,2.0,1,0,2,2,1,2,1,638,8,633.375,630,638,3.961871851969519,3,5,1,1,1,1,1,1,2,0,0,0,0,0,0,1,12
10000005,3,NY,10006,1,0,10,e,4.0,28,28,0,3.0,13.0,0,0,3,2,0,0,2,731,5,745.2,730,755,13.423859355639875,3,-24,2,2,1,2,2,1,1,1,1,0,1,1,0,0,8
10000007,4,PA,10008,1,0,11,c,,43,43,0,2.0,4.0,0,0,2,2,0,0,1,605,7,609.2857142857143,605,618,5.3763149000743855,4,-13,1,1,2,3,1,1,2,0,0,2,2,0,0,1,8
10000013,2,WV,10014,2,1,3,d,3.0,62,60,1,3.0,3.0,1,1,3,2,1,1,3,627,3,625.3333333333334,620,629,4.725815626252603,3,-2,1,1,1,1,1,2,1,0,0,0,0,0,1,0,16
10000014,4,MO,10015,1,0,5,d,3.0,32,28,1,1.0,2.0,1,1,1,1,0,2,2,603,5,599.6,585,604,8.173126696681011,3,-1,2,1,2,2,1,1,1,2,0,1,1,0,0,0,16
10000016,2,OH,10017,1,0,6,d,,24,24,0,3.0,9.0,2,0,3,3,1,3,3,589,9,589.2222222222222,584,591,2.7738861628488674,5,-1,2,2,1,1,2,2,1,1,1,0,0,1,1,0,13
10000019,1,OK,10021,1,0,7,d,,21,21,0,2.0,4.0,2,0,2,3,0,2,3,685,7,682.7142857142857,681,685,2.138089935299428,2,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,9
10000023,0,PA,10025,2,1,2,f,3.0,31,31,0,1.0,13.0,1,1,1,3,1,1,2,622,6,625.5,615,659,17.131841699011808,4,-37,1,1,2,1,1,1,1,0,0,1,0,0,0,0,14
10000025,0,OH,10027,2,1,15,d,2.0,52,17,0,3.0,0.0,0,0,1,1,0,0,3,600,6,605.5,584,648,21.81513236265139,4,-48,2,1,2,2,1,2,1,1,0,1,1,0,1,0,15
10000026,1,OH,10028,2,1,5,d,3.0,59,57,1,3.0,1.0,1,1,3,3,1,2,3,572,3,561.3333333333334,556,572,9.237604307033996,2,16,1,2,1,1,2,1,1,0,1,0,0,1,0,0,9
10000027,0,IN,10029,1,0,17,d,4.0,50,50,0,2.0,1.0,0,0,2,2,0,0,2,609,5,629.4,575,689,50.21254823248866,5,34,2,1,2,2,1,2,1,4,0,1,1,0,4,0,9
10000028,5,FL,10030,2,1,1,d,1.0,44,20,0,1.0,2.0,1,0,1,3,0,2,3,696,5,694.4,692,696,2.190890230020667,2,0,2,1,1,2,1,1,1,2,0,0,1,0,0,0,15
10000031,4,OR,10033,1,0,15,e,,25,25,0,2.0,8.0,1,1,1,1,0,1,2,665,7,662.2857142857143,654,665,4.715728494951252,3,8,1,1,2,2,2,1,2,0,0,1,1,1,0,1,18
10000032,0,OR,10034,1,1,12,e,3.0,29,29,0,4.0,14.0,2,1,3,3,0,3,3,603,6,599.6666666666666,585,610,8.80151502110101,4,9,2,1,1,1,1,3,2,3,0,0,0,0,3,1,18
10000033,0,WA,10035,1,1,8,d,3.0,30,30,0,1.0,5.0,1,0,1,1,0,2,2,620,6,589.0,550,620,32.75362575349484,5,70,2,1,1,1,1,2,2,1,0,0,0,0,1,1,17
10000034,3,OK,10036,1,1,8,g,3.0,61,61,0,3.0,3.0,2,1,2,3,0,2,2,600,6,607.1666666666666,600,613,5.810909280540085,5,-10,1,2,1,2,1,1,2,0,1,0,1,0,0,2,9
10000036,0,FL,10038,2,1,26,c,1.0,60,56,1,3.0,15.0,0,1,3,3,0,2,3,574,10,577.2,568,605,14.905629063470524,3,-31,2,1,1,1,2,1,1,1,0,0,0,1,0,0,13
10000037,5,PA,10039,1,1,1,g,4.0,58,58,0,1.0,5.0,2,0,1,1,1,3,2,652,5,670.6,642,765,53.007546632531486,3,-113,1,1,1,1,1,1,1,0,0,0,0,0,0,0,9
10000038,2,WA,10040,1,0,7,d,,65,37,1,1.0,0.0,1,1,1,1,1,2,2,654,6,651.0,622,671,15.924823389915506,4,32,1,1,2,1,1,1,1,0,0,1,0,0,0,0,15
10000039,2,OH,10041,1,1,4,f,,49,49,0,2.0,4.0,1,1,3,3,1,2,3,649,8,648.25,641,665,7.401737247816503,5,8,1,1,1,1,1,1,1,0,0,0,0,0,0,0,13
10000040,2,KS,10042,1,1,6,e,,26,26,0,3.0,5.0,1,1,3,3,1,2,1,627,3,623.0,616,627,6.082762530298219,3,1,1,2,1,1,2,1,1,0,1,0,0,1,0,0,11
10000041,4,PA,10043,1,1,14,d,,56,56,0,1.0,4.0,0,1,1,1,0,0,3,563,7,584.5714285714286,563,702,51.800441255704726,3,-139,2,1,2,2,2,2,2,1,0,1,1,1,1,1,10
10000042,0,FL,10044,3,0,9,e,3.0,65,17,1,3.0,15.0,1,1,3,3,1,1,3,701,3,698.3333333333334,693,701,4.618802153516998,2,8,1,1,1,1,1,1,2,0,0,0,0,0,0,1,11
10000043,4,NY,10045,1,1,3,f,2.0,51,51,0,3.0,4.0,1,0,3,3,0,0,2,598,6,599.0,596,603,3.2249030993194285,3,0,1,1,1,1,2,1,1,0,0,0,0,2,0,0,9
10000047,0,OH,10049,1,1,6,e,3.0,24,24,0,4.0,6.0,1,0,3,3,1,1,3,598,7,595.7142857142857,591,601,3.4016802570830533,4,4,1,1,2,1,2,1,1,0,0,1,0,1,0,0,14
10000048,0,OH,10050,1,1,10,h,,52,52,0,1.0,1.0,0,0,1,1,0,0,3,562,8,571.875,559,656,34.0186398485133,3,-94,2,1,1,1,1,2,2,1,0,0,0,0,1,1,13
10000049,3,NV,10051,1,0,17,c,,43,43,0,3.0,7.0,0,1,1,1,0,0,2,599,9,623.4444444444445,599,670,19.04016223086816,5,-71,2,1,1,2,2,2,1,1,0,0,1,1,1,0,13
10000052,0,ID,10053,1,1,8,d,1.0,24,24,0,3.0,3.0,2,1,3,3,1,3,3,604,7,615.1428571428571,604,623,9.822229404579714,3,-2,1,1,1,1,1,2,1,0,0,0,0,0,1,0,14
